2020-02-15	0
2020-02-16	0
2020-02-17	0
2020-02-18	0
2020-02-19	0
2020-02-20	0
2020-02-21	0
2020-02-22	0
2020-02-23	0
2020-02-24	0
2020-02-25	0
2020-02-26	0
2020-02-27	0
2020-02-28	0
2020-02-29	0
2020-03-01	0
2020-03-02	0
2020-03-03	0
2020-03-04	0
2020-03-05	0
2020-03-06	0
2020-03-07	0
2020-03-08	0
2020-03-09	0
2020-03-10	0
2020-03-11	13
2020-03-12	0
2020-03-13	13
2020-03-14	16
2020-03-15	12
2020-03-16	14
2020-03-17	0
2020-03-18	40
2020-03-19	28
2020-03-20	63
2020-03-21	45
2020-03-22	68
2020-03-23	32
2020-03-24	98
2020-03-25	115
2020-03-26	116
2020-03-27	112
2020-03-28	115
2020-03-29	88
2020-03-30	86
2020-03-31	106
2020-04-01	136
2020-04-02	158
2020-04-03	198
2020-04-04	128
2020-04-05	0
2020-04-06	299
2020-04-07	0
2020-04-08	428
2020-04-09	224
2020-04-10	222
2020-04-11	260
2020-04-12	166
2020-04-13	72
2020-04-14	102
2020-04-15	177
2020-04-16	0
2020-04-17	265
2020-04-18	194
2020-04-19	63
2020-04-20	194
2020-04-21	191
2020-04-22	163
2020-04-23	171
2020-04-24	174
2020-04-25	172
2020-04-26	200
2020-04-27	241
2020-04-28	242
2020-04-29	179
2020-04-30	178
2020-05-01	154
2020-05-02	188
2020-05-03	370
2020-05-04	107
2020-05-05	190
2020-05-06	136
2020-05-07	208
2020-05-08	137
2020-05-09	202
2020-05-10	212
2020-05-11	166
2020-05-12	168
2020-05-13	167
2020-05-14	161
2020-05-15	174
2020-05-16	150
2020-05-17	181
2020-05-18	157
2020-05-19	261
2020-05-20	110
2020-05-21	139
2020-05-22	151
2020-05-23	310
2020-05-24	349
2020-05-25	257
2020-05-26	264
2020-05-27	281
2020-05-28	403
2020-05-29	400
2020-05-30	487
2020-05-31	445
2020-06-01	374
2020-06-02	258
2020-06-03	514
2020-06-04	435
2020-06-05	419
2020-06-06	541
2020-06-07	421
2020-06-08	429
2020-06-09	379
2020-06-10	656
2020-06-11	697
2020-06-12	625
2020-06-13	848
2020-06-14	627
2020-06-15	736
